LinkedIn,Category,Description
https://www.linkedin.com/in/animesh-koratana/,Series A,"AI + Developer Platform, Developer Tools"
https://www.linkedin.com/in/eric-ciarla/,Series A,
https://www.linkedin.com/in/divyaanshumakkar/,Series A,
https://www.linkedin.com/in/stacyedgar/,Series A,
https://www.linkedin.com/in/emily-long-7a194b4,Series A,
https://www.linkedin.com/in/parkerence,Series A,
https://www.linkedin.com/in/coltoncalandrella,Series A,
https://www.linkedin.com/in/macliu1/,Series A,
https://www.linkedin.com/in/lukearrigoni,Series A,
https://www.linkedin.com/in/varun-puri001,Series A,
https://www.linkedin.com/in/joseph-rutakangwa,Series A,
https://www.linkedin.com/in/aneesh-dhawan-140212141,Series A,
https://www.linkedin.com/in/jaspar-carmichael-jack,Series A,
https://www.linkedin.com/in/rajsekhark/,Series Seed,
https://www.linkedin.com/in/ahmed-rashad-perle,Series Seed,
https://www.linkedin.com/in/jugal-anchalia-0a2ab220,Series Seed,
https://www.linkedin.com/in/priyanshabagaria,Series Seed,
https://www.linkedin.com/in/stamirowska,Series Seed,
https://www.linkedin.com/in/sal-rehmetullah-59704741,Series Seed,
https://www.linkedin.com/in/dovyoran,Series Seed,
https://www.linkedin.com/in/drishanarora,Series Seed,
https://www.linkedin.com/in/rickyarora,Series Seed,
https://www.linkedin.com/in/williamjunchenwu,Series Seed,
https://www.linkedin.com/in/shawn-shen-jx,Series Seed,
https://www.linkedin.com/in/kristian-kamber-b4b05a68,Series Seed,
https://www.linkedin.com/in/roshankumars,Series Seed,
https://www.linkedin.com/in/waleedatallah/,Series Seed,
https://www.linkedin.com/in/natmon,Series Seed,
https://www.linkedin.com/in/lindon-gao,Series Seed,
https://www.linkedin.com/in/edrizio-de-la-cruz,Series Seed,
https://www.linkedin.com/in/bellis,Series Seed,
https://www.linkedin.com/in/pulkitjaiswal,Series Seed,
https://www.linkedin.com/in/matthew-vega-sanz,Series Seed,
https://www.linkedin.com/in/mishal-thadani,Series Seed,
https://www.linkedin.com/in/jonathanabrams,Seed Stage VC,
https://www.linkedin.com/in/mike-collins-362100,Seed Stage VC,
https://www.linkedin.com/in/franziska-bossart-b3799153,Seed Stage VC,
https://www.linkedin.com/in/hannahchelkowski,Seed Stage VC,
https://www.linkedin.com/in/neerajgupta123,Seed Stage VC,
https://www.linkedin.com/in/davidongchoco,Seed Stage VC,
https://www.linkedin.com/in/daynagrayson,Seed Stage VC,
https://www.linkedin.com/in/hadleyharris,Seed Stage VC,
https://www.linkedin.com/in/heikkilajesse,Seed Stage VC,
https://www.linkedin.com/in/luzhangvc,Seed Stage VC,
https://www.linkedin.com/in/rktaparia,Seed Stage VC,
https://il.linkedin.com/in/yuvalpassov,Seed Stage VC,
https://www.linkedin.com/in/maxaltschuler,Seed Stage VC,
https://www.linkedin.com/in/david-stark-36bb1938/,Seed Stage VC,
https://www.linkedin.com/in/mauricio-porras-837995105,Seed Stage VC,
https://www.linkedin.com/in/gregfrick,Seed Stage VC,
https://ae.linkedin.com/in/hervecuviliez,Seed Stage VC,
https://www.linkedin.com/in/nathanmcdonald1,Seed Stage VC,
https://www.linkedin.com/in/karl-alomar-0516a219,Seed Stage VC,
https://www.linkedin.com/in/amir-amidi,Seed Stage VC,
https://www.linkedin.com/in/chenxiwang88,Seed Stage VC,
https://www.linkedin.com/in/alchuang,Seed Stage VC,
https://www.linkedin.com/in/sudeepmishra?trk=org-employees,Seed Stage VC,
https://www.linkedin.com/in/ryanfloyd1,Seed Stage VC,
https://www.linkedin.com/in/andrew-marks-92429015,Seed Stage VC,
https://www.linkedin.com/in/trangnguyen2010?trk=org-employees,Seed Stage VC,
https://www.linkedin.com/in/nickbonfiglio,recent raised series B,
https://www.linkedin.com/in/sureshmathew,recent raised series B,
https://www.linkedin.com/in/thejuliomartinez/,recent raised series B,
https://www.linkedin.com/in/joniklippert,recent raised series B,
https://www.linkedin.com/in/khalidraza,recent raised series B,
https://www.linkedin.com/in/stephenwhitworth/,recent raised series B,
https://www.linkedin.com/in/yair-kuznitsov/,recent raised series B,
https://www.linkedin.com/in/colinzima,recent raised series B,
https://www.linkedin.com/in/maximser,recent raised series B,
https://www.linkedin.com/in/alexandre-de-vigan-26388015/,recent raised series B,
